"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"deer_dispersal.nlogo"
"test - run until 01/01/2024"
"08/23/2024 10:53:37:377 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-551","551","-879","879"
"[run number]","beta-slope:turning-angle","beta-wetlands:turning-angle","beta-bare:step-length:female:summer","beta-forest:step-length:male:summer","se-scrub:turning-angle","se-forest:distance-to-road","beta-slope:summer","se-scrub:step-length:male:summer","beta-forest:step-length","beta-forest:distance-to-road","se-slope:winter","beta-bare:step-length:male:summer","beta-scrub:step-length:female:winter","beta-distance-to-road:turning-angle","beta-artificial","beta-wetlands:step-length","pen-down?","se-artificial:distance-to-road","se-agricultural:step-length:male:summer","beta-wetlands","se-distance-to-road:summer","se-agricultural:step-length:female:winter","beta-agricultural:step-length:male:winter","beta-wetlands:step-length:female:summer","beta-forest:turning-angle","beta-artificial:turning-angle","se-wetlands:step-length","se-wetlands","se-distance-to-road:winter","se-scrub:step-length:male:winter","beta-wetlands:step-length:male:winter","beta-bare:turning-angle","se-forest:step-length:female:summer","beta-artificial:step-length:female:winter","beta-agricultural","beta-agricultural:step-length","se-bare:step-length","se-slope:step-length","beta-agricultural:turning-angle","se-agricultural:step-length:male:winter","beta-scrub:turning-angle","beta-agricultural:step-length:female:summer","beta-turning-angle","se-step-length","beta-distance-to-road:winter","se-agricultural:step-length:female:summer","se-artificial:step-length:male:summer","beta-scrub:step-length:male:winter","se-artificial:turning-angle","se-forest:step-length:female:winter","se-scrub:step-length:female:winter","se-bare:step-length:male:summer","se-wetlands:turning-angle","se-forest:step-length","se-distance-to-road","se-scrub","beta-wetlands:distance-to-road","se-bare:distance-to-road","beta-scrub:distance-to-road","beta-scrub","se-artificial:step-length:female:winter","beta-forest:step-length:female:winter","beta-distance-to-road","se-agricultural:turning-angle","se-artificial","se-bare:step-length:female:summer","se-wetlands:step-length:male:summer","se-forest:step-length:male:summer","beta-artificial:step-length:female:summer","se-slope","se-wetlands:step-length:female:summer","se-forest","beta-slope","se-agricultural:step-length","beta-agricultural:step-length:female:winter","beta-artificial:step-length:male:summer","beta-scrub:step-length","beta-bare","beta-wetlands:step-length:male:summer","se-artificial:step-length:male:winter","se-distance-to-road:turning-angle","se-bare:step-length:male:winter","se-wetlands:step-length:male:winter","se-forest:step-length:male:winter","beta-distance-to-road:summer","se-artificial:step-length","beta-scrub:step-length:male:summer","se-bare:turning-angle","beta-bare:step-length:male:winter","se-wetlands:step-length:female:winter","se-agricultural","se-slope:turning-angle","beta-bare:step-length:female:winter","beta-forest:step-length:male:winter","beta-bare:distance-to-road","beta-artificial:step-length:male:winter","beta-artificial:distance-to-road","beta-forest","beta-slope:winter","se-bare:step-length:female:winter","se-artificial:step-length:female:summer","beta-step-length","se-agricultural:distance-to-road","se-scrub:step-length:female:summer","beta-artificial:step-length","se-turning-angle","max-step-distance","se-forest:turning-angle","beta-bare:step-length","se-scrub:distance-to-road","beta-forest:step-length:female:summer","se-wetlands:distance-to-road","beta-wetlands:step-length:female:winter","se-scrub:step-length","se-bare","beta-agricultural:step-length:male:summer","beta-agricultural:distance-to-road","se-slope:summer","beta-scrub:step-length:female:summer","beta-slope:step-length","[step]","count patches with [n-visits > 0]"
"33","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","602257"
"32","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","583270"
"34","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","568197"
"35","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","638020"
"36","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","579744"
"38","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","585986"
"37","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","574025"
"39","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","599297"
"40","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","615521"
"41","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","606129"
"42","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","592272"
"43","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","626398"
"45","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","609724"
"44","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","593598"
"46","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","658249"
"47","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","561385"
"48","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","608650"
"49","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","609982"
"50","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","612338"
"51","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","604211"
"52","0.013","-1.0E27","0","0.1303","0.1011","2.843E-5","-0.01168","0.03063","0.5808","1.207E-5","0","-0.02022","0.02509","5.356E-5","0","-1.0E27","false","0","0.06369","-1.0E27","4.497E-5","0.0489","0.08535","-1.0E27","0.09563","0","0","0","0","0.03352","-1.0E27","0.7063","0","0.3082","0.3454","0.5887","0.1104","8.072E-4","-0.2168","0.08316","0.2008","0","-2.185","0.1081","0","0","0.3335","0.03016","0","0.01829","0.02448","0.04171","0","0.1075","4.293E-5","0.09904","-1.0E27","2.881E-5","1.238E-5","0.3674","0.1186","0.005265","-1.533E-4","0.1075","0","0","0","0.03568","0","0.001802","0","0.09639","0.02615","0.1137","0.05094","0.287","0.4704","0.4187","-1.0E27","0.1563","1.847E-6","0.04044","0","0.03707","1.041E-4","0","0.1201","0.1033","-0.03232","0","0.1074","0.00126","-0.07517","0.004577","-3.229E-5","-0.04219","0","0.2447","0","0.03725","0","-0.3181","3.537E-5","0","0","0.1018","50","0.1006","0.5323","2.861E-5","0","0","-1.0E27","0.1081","0.1036","0.238","-1.224E-4","0.002169","0","-0.009666","3685","588966"
